"Date","Time","Entry"
"21-06-2015","15:36:17","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","15:37:32","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","15:38:09","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:10:41","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:11:41","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:12:33","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:12:55","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:13:23","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:14:17","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
"21-06-2015","16:15:08","Error adding license to database: Cannot add or update a child row: a foreign key constraint fails (`iacs_dev`.`licenses`, CONSTRAINT `licenses_ibfk_4` FOREIGN KEY (`license_invoice`) REFERENCES `invoices` (`invoice_id`))"
